"code","year","rate"
"AGO",1950,40.1
"AGO",1951,39.4
"AGO",1952,38.9
"AGO",1953,38.3
"AGO",1954,39.4
"AGO",1955,37.9
"AGO",1956,38.7
"AGO",1957,36.6
"AGO",1958,35.5
"AGO",1959,35.9
"AGO",1960,35.2
"AGO",1961,31.9
"AGO",1962,33
"AGO",1963,32.3
"AGO",1964,29.9
"AGO",1965,28.6
"AGO",1966,27.5
"AGO",1967,26.5
"AGO",1968,27.3
"AGO",1969,26.9
"AGO",1970,25.9
"AGO",1971,26.5
"AGO",1972,26.7
"AGO",1973,25.6
"AGO",1974,26.7
"AGO",1975,38.5
"AGO",1976,41.5
"AGO",1977,41.8
"AGO",1978,41.4
"AGO",1979,41.4
"AGO",1980,41.3
"AGO",1981,43.5
"AGO",1982,44.5
"AGO",1983,44.4
"AGO",1984,43.8
"AGO",1985,43.9
"AGO",1986,44.2
"AGO",1987,44
"AGO",1988,43.2
"AGO",1989,44.2
"AGO",1990,46.2
"AGO",1991,47
"AGO",1992,49.7
"AGO",1993,59
"AGO",1994,59.6
"AGO",1995,56.4
"AGO",1996,53.3
"AGO",1997,52.2
"AGO",1998,51.7
"AGO",1999,52.1
"AGO",2000,52.2
"AGO",2001,51.8
"AGO",2002,48.7
"AGO",2003,48.7
"AGO",2004,46.5
"AGO",2005,43.8
"AGO",2006,41.6
"AGO",2007,39.4
"AGO",2008,37.8
"AGO",2009,38.2
"AGO",2010,38
"AGO",2011,36.3
"AGO",2012,34.5
"AGO",2013,33.4
"AGO",2014,31.4
"AGO",2015,35.6
"AGO",2016,37.2
"AGO",2017,38.2
"AGO",2018,39.1
"AGO",2019,40.1
"AGO",2020,42
"AGO",2021,42.3
"AGO",2022,42.1619
"AGO",2023,42.7924
"AGO",2024,42.2996
"AGO",2025,42.2968
"BDI",1950,89.9
"BDI",1951,89.1
"BDI",1952,89
"BDI",1953,88.5
"BDI",1954,87.5
"BDI",1955,87.3
"BDI",1956,86.6
"BDI",1957,86.2
"BDI",1958,85.8
"BDI",1959,85
"BDI",1960,85.1
"BDI",1961,89.1
"BDI",1962,87.6
"BDI",1963,87.3
"BDI",1964,86.4
"BDI",1965,86.2
"BDI",1966,85.5
"BDI",1967,82.8
"BDI",1968,83.5
"BDI",1969,84.6
"BDI",1970,80.1
"BDI",1971,80
"BDI",1972,81.6
"BDI",1973,79.8
"BDI",1974,80.8
"BDI",1975,81.2
"BDI",1976,79.7
"BDI",1977,76.8
"BDI",1978,77.9
"BDI",1979,78.1
"BDI",1980,79.6
"BDI",1981,76.8
"BDI",1982,77.9
"BDI",1983,77.7
"BDI",1984,78.8
"BDI",1985,76.1
"BDI",1986,75.7
"BDI",1987,74.7
"BDI",1988,73.8
"BDI",1989,74
"BDI",1990,73.6
"BDI",1991,72.6
"BDI",1992,73.1
"BDI",1993,74.1
"BDI",1994,75.8
"BDI",1995,79.8
"BDI",1996,82
"BDI",1997,82.5
"BDI",1998,81.6
"BDI",1999,82
"BDI",2000,81.6
"BDI",2001,80.6
"BDI",2002,79
"BDI",2003,79
"BDI",2004,77.2
"BDI",2005,76.9
"BDI",2006,75.4
"BDI",2007,75.4
"BDI",2008,75.2
"BDI",2009,75.7
"BDI",2010,75.6
"BDI",2011,75.5
"BDI",2012,75.2
"BDI",2013,74.9
"BDI",2014,74.5
"BDI",2015,75.4
"BDI",2016,75
"BDI",2017,74.5
"BDI",2018,73.6
"BDI",2019,73.3
"BDI",2020,74.1992
"BDI",2021,74
"BDI",2022,74.1992
"BDI",2023,74.4979
"BDI",2024,74.4464
"BDI",2025,74.2673
"BEN",1950,54.2
"BEN",1951,56.1
"BEN",1952,57.7
"BEN",1953,59.1
"BEN",1954,58.9
"BEN",1955,59.5
"BEN",1956,60.3
"BEN",1957,61.5
"BEN",1958,60.5
"BEN",1959,60
"BEN",1960,59.7
"BEN",1961,59.2
"BEN",1962,61.5
"BEN",1963,60.1
"BEN",1964,58.5
"BEN",1965,57.6
"BEN",1966,56.1
"BEN",1967,57
"BEN",1968,55.7
"BEN",1969,54.8
"BEN",1970,54.9
"BEN",1971,57.9
"BEN",1972,54.6
"BEN",1973,53.6
